company_name,country_code,country_name,hs_chapter,hs_description,trade_type,top_products,partner_countries,contact_email,contact_phone
ao aviakompaniya scat,KZ,Kazakhstan,88,"Aircraft, spacecraft, and parts thereof",importer,"Under-carriages and parts thereof, for aircraft, n.e.s.|Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Aeroplanes and other powered aircraft of an of an unladen weight > 15.000 kg (excl. helicopters and dirigibles)",Canada|Estonia|Ukraine,,
boeing commercial airp,US,United States,88,"Aircraft, spacecraft, and parts thereof",importer,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)",United States|Argentina|France,,
m/s airasia india,IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)",Malaysia,,
servicio aereo a territorios nacionales,PR,Puerto Rico,88,"Aircraft, spacecraft, and parts thereof",importer,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Under-carriages and parts thereof, for aircraft, n.e.s.|Propellers and rotors and parts thereof, for aircraft, n.e.s.",United States|France|Brazil,,
ligare aviation,IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Parts of aircraft and spacecraft, n.e.s.",France|Lithuania,,
rockwell collins france,FR,France,88,"Aircraft, spacecraft, and parts thereof",importer,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Ground flying trainers and parts thereof, n.e.s. (excl. air combat simulators and parts thereof)",India,,
israel aerospace industries,IL,Israel,88,"Aircraft, spacecraft, and parts thereof",exporter,"Air combat simulators and parts thereof|Parts of aircraft and spacecraft, n.e.s.|Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)",United States,,
m/s dynamatic technologies,IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Parts of aircraft and spacecraft, n.e.s.",India|Mexico|Canada,,
sansera engineering p,IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)",Italy|South Korea|Argentina,,
m/s heligo charters,IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Parts of aircraft and spacecraft, n.e.s.",Canada,,
central charter de colombia,CO,Colombia,88,"Aircraft, spacecraft, and parts thereof",importer,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Under-carriages and parts thereof, for aircraft, n.e.s.",United States|United Kingdom|Canada,,
ao aviakompaniya rossiya,RU,Russia,88,"Aircraft, spacecraft, and parts thereof",exporter,Aeroplanes and other powered aircraft of an of an unladen weight > 15.000 kg (excl. helicopters and dirigibles),Netherlands|Singapore|Germany,,
north atlantic services,NL,Netherlands,88,"Aircraft, spacecraft, and parts thereof",exporter,Helicopters of an unladen weight > 2.000 kg|Helicopters of an unladen weight <= 2.000 kg,Jordan|Uruguay|Türkiye,,
ao aviakompaniya rossiya,RU,Russia,88,"Aircraft, spacecraft, and parts thereof",importer,Aeroplanes and other powered aircraft of an of an unladen weight > 15.000 kg (excl. helicopters and dirigibles),United Kingdom|Latvia|Netherlands|Russia,,
turbo megha airways,PK,Pakistan,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aircraft and spacecraft, n.e.s.|Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)",Singapore|Canada|Thailand,,
tai tusas turkish aerospace ind,TR,Türkiye,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Air combat simulators and parts thereof",United States|Netherlands,,
pawan hans,IN,India,88,"Aircraft, spacecraft, and parts thereof",exporter,"Parts of aeroplanes or helicopters, n.e.s. (excl. those for gliders)|Ground flying trainers and parts thereof, n.e.s. (excl. air combat simulators and parts thereof)",France,,
